con-par,,,rand-par,,,cont-min,,,rand-min,,
baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 
1620744141,1610249365,1625866506,358691347.5,1068618250,962292262.9,1597335595,1597335595,1597335595,340904453.8,955401190.6,954074020.3
1574217310,1560745619,1579339674,344731269.8,1043672439,957995219.6,1543053708,1543053708,1543053708,325065203.4,928574423.6,928302169.1
1560898506,1573667208,1566020871,293695153.5,1056720967,977127049.2,1589186953,1589186953,1589186953,257774535.4,944897033.9,945223017.3
1545391896,1561137515,1547929243,350962242.3,1040351266,934045984.1,1592167370,1592167370,1592167370,268234676.9,916483593.8,916737318.7
1643974145,1633479052,1649096192,349161019.2,1038337205,949113553.9,1563765837,1563765837,1563765837,329897109.7,936606691.9,936662455
1612957422,1594707272,1618079469,458160134.1,1136465051,1109745420,1524602161,1524602161,1524602161,338524661.1,1022700750,986902607.7
1605200555,1615383920,1612907621,492230469.1,1151464236,1122027232,1574104222,1574104222,1574104222,258960180.4,997196123,956235934.5
1587108924,1605047346,1592230972,418895311.1,1134320725,1102492145,1563375750,1563375750,1563375750,248435221.9,984270590.3,943837457.4
1579421758,1597344602,1607780844,479992796.7,1189801471,1163649284,1584404689,1584404689,1584404689,299856205.9,1042725283,1005109357
1545036224,1571497917,1576372226,470093034,1180361593,1156118503,1552604175,1552604175,1552604175,302681365.4,1059360835,1027560920
1542840407,1542669007,1553105250,472188103.7,1177955996,1154025711,1586596123,1586596123,1586596123,306147475.7,1054005483,1021842079
1522163758,1521600460,1532428601,377909568.5,1053166886,1029038088,1568896390,1568896390,1568896390,222045144.2,942215195.3,911587088.7
1662106870,1664519603,1649105661,491637697.2,1132050822,1121284146,1669748371,1669748371,1669748371,307789691.2,1008727334,978044137.4
1623335090,1651598007,1610333880,267357213.2,1196882128,1195751424,1664581832,1664581832,1664581832,312657764.8,1168953974,1149221214
1625918298,1628331030,1612917088,256571812.5,1185668788,1188057754,1674916718,1674916718,1674916718,300752700.2,1149806975,1128156067
1617160136,1600656016,1588469519,261877039,1200341678,1194007632,1582985223,1582985223,1582985223,280566979.7,1138738803,1127113252
1570684381,1538633383,1536709474,258002340.4,1184049444,1177445184,1527969323,1527969323,1527969323,311767606.6,1167578947,1156305726
1524157548,1492106549,1495352678,70193425.93,733232317.4,777662081.3,1476272451,1476272451,1476272451,126380202.8,765343171.7,710355126.8
1537080830,1536046676,1521199363,68914065,726554740.8,783206254.4,1525382615,1525382615,1525382615,127414663.1,755472979.7,701857902.5
1524159238,1523125083,1508277771,257537614.3,940450723.5,948525199.9,1517631060,1517631060,1517631060,202884108.1,967660343.3,989399312.1
1583573994,1551522587,1552181108,268105346.9,955596595.3,960353426.3,1499569601,1499569601,1499569601,212191885.8,966007106.3,996097795.1
1573237417,1530845937,1539259513,195139275.5,914716126.2,922684278.2,1484062988,1484062988,1484062988,257209952.5,950120972.1,982843406.3
1560310515,1559275953,1541841034,271297558.1,928533889.1,932108320.3,1507322968,1507322968,1507322968,232900848.1,936150176.1,968765728.3
1526708774,1536014286,1515994347,266864778.7,917182519.5,940882385.3,1478891264,1478891264,1478891264,216123735.4,918077016.5,962232545
1497161391,1480551675,1473214192,257276425.5,664766630.3,674508609.8,1452174058,1452174058,1452174058,377054531.9,749451608.2,707676583.4
1494579872,1477970157,1470632672,266251575.1,674503950,688049561.3,1449592539,1449592539,1449592539,387648708.4,763492821.2,719667873
1468542255,1452119851,1444595056,231796542.3,657295568.7,669633496,1423742233,1423742233,1423742233,372039544.4,759842885.8,698213937.2
1454035800,1421489527,1416464732,214048129.1,671105600.4,685280636.7,1267622478,1267622478,1267622478,317551534.6,752973080.3,704537442.2
1521939183,1469119277,1502453469,208866501.3,616227885.7,629749833.9,1504347366,1504347366,1504347366,290583478.4,675275693.7,623359299
1379277403,1261400091,1327356643,231093213.1,376026149.6,397758146.8,1394307945,1394307945,1394307945,176498171.8,287542988.9,310477929.9
1573365613,1599355442,1578207065,210510799.3,358072019.3,387393500.1,1611608846,1611608846,1611608846,207950618.2,328515487,368242080.9
1538161735,1564151564,1532253941,209943845.8,353396354.9,378612908.9,1603465391,1603465391,1603465391,186179359.6,306143713.3,350902342.3
1509186343,1537099844,1513820646,173617750.4,346478436.7,361252215.1,1547585152,1547585152,1547585152,140015740.7,291636240,343112709.5
1487334003,1512662484,1491968306,70359860.92,789827550.9,818188157.6,1528317830,1528317830,1528317830,66328134.85,759220483.1,756475756.5
1527298664,1552627146,1534517985,68913153.92,782020483.6,811249462,1609625595,1609625595,1609625595,75395039.97,768379908.5,762406234.7
1490720008,1513463470,1492769292,136348875.5,516363263.7,467671174.8,1575631957,1575631957,1575631957,196913322.4,532628902.1,461703633.6
1576369611,1604286015,1575843348,152513426,548683030.5,521553672.8,1596718242,1596718242,1596718242,169295760.2,550297821.5,462919689.9
