con-par,,rand-par,,cont-min,,rand-min,
baseline,workload1,baseline,workload1,baseline,workload1,baseline,workload1
335917159.5,336545183.2,218249259.2,243754875.1,992520079.6,992520079.6,485833472.8,550933138.1
335916582,336544605.7,218249835.7,243758850.1,992519502.1,992519502.1,485831153.3,550922872.1
335915106.5,336547416.5,218239484.7,243754875.1,992520657,992520657,485828836.6,550976056.3
335914528.5,336546838.5,218243838.1,243759229.8,992520079,992520079,485831534.7,550936665.4
335916180.6,336542038.3,218240693.6,243761463.3,992524307.7,992524307.7,485832175.9,550982644.6
335915602.6,336541460.3,218245861.1,243750238.7,992523729.7,992523729.7,485828072.8,550933138.7
335917253.8,336546839.7,218242967.4,243754876.2,992524884.3,992524884.3,485833473.8,550933139.1
335916675.7,336546261.7,218240311.6,243750238.1,992524306.2,992524306.2,485828902.1,550939431.3
335916079.9,336543778.9,218238905.9,243758848.1,992519502.5,992519502.5,485831153.1,550980029.6
335915501.6,336543200.7,218244951.5,243665311.2,992518924.2,992518924.2,485828009.9,550921665.5
335916331,336545772.1,218243457.6,243759677.4,992520081.8,992520081.8,485831154.2,550929992.6
335915753.2,336545194.3,218242633.7,243664650.2,992519504,992519504,485831983.5,550931932.8
335918197.3,336544857.7,218253942.8,243674302.4,992523391.9,992523391.9,485836175,550872665.3
335917618.9,336544279.3,218240314,243661417.8,992522813.5,992522813.5,485825438.9,550923320.7
335916705.8,336547175.3,218247517.6,243761168.6,992523478.2,992523478.2,485828835.3,550920554
335916128.1,336546597.7,218243841.5,243666835.5,992522900.6,992522900.6,485832427.6,550920555.5
335919572,336547259.6,218237165.6,243759677.6,992519504.7,992519504.7,485820226.7,550973738.5
335918994.9,336546682.5,218240311.4,243755703.1,992518927.5,992518927.5,485828074.6,550933138.7
335917340.4,336546011.5,218244752.7,243766351.4,992520079.9,992520079.9,485837065,550942957.9
335916762.6,336545433.8,218251491.6,243667457.5,992519502.2,992519502.2,485830326.7,550866817
335917244.2,336541375.7,218244372.5,243759678,992522902,992522902,485832811.2,550936285.2
335916666.7,336540798.2,218246114.7,243662992.7,992522324.5,992522324.5,485836620.1,550873110.4
335914925.1,336544605.3,218241225.2,243761996.2,992523479,992523479,485823370.6,550926846.8
335914347.6,336544027.8,218247070.6,243763205,992522901.5,992522901.5,485829282.3,550932691.5
335919141.1,336544942.8,218246113.2,243752557.7,992518097.9,992518097.9,485830326.8,550936284.8
335918563.7,336544365.3,218244371.2,243759677.4,992517520.5,992517520.5,485830239,550929992.5
335917734.9,336547179.2,218247517.7,243755703.9,992517846.3,992517846.3,485828835.4,550926846.8
335917157,336546601.4,218248924.3,243669283.9,992517268.5,992517268.5,485834879.4,550871369.7
335919475.8,336542625.5,218239483.4,243750239.3,992520244.1,992520244.1,485828008.5,550932310.1
335918898.2,336542047.9,218243794.7,243761995.4,992519666.5,992519666.5,485835127.6,550933138.7
335917243.1,336545771.3,218246113.4,243758021.6,992519993.2,992519993.2,485836619.7,550929992.2
335916665.3,336545193.5,218244752.7,243766350.5,992519415.4,992519415.4,485831601.4,550936666.7
335913281.3,336549158.4,218243460.5,243665477.2,992518991.9,992518991.9,485831982.2,550926466.8
335912703.5,336548580.7,218248924.8,243667543.2,992518414.1,992518414.1,485830328.7,550866819
335912702.5,336550648.5,218240312,243755703.7,992521649.1,992521649.1,485829663.5,550976057
335912124.4,336550070.5,218241226.1,243762824.3,992521071.1,992521071.1,485829664.8,550933138.8
335913856,336547668.2,218246604.4,243756531.9,992521160.5,992521160.5,485829665.5,550971420.9
335913278.4,336547090.6,218237544.8,243760059.4,992520583,992520583,485831601.2,550935009.4
335914107.2,336547417.3,218246607.3,243668623.8,992523139.3,992523139.3,485835957.1,550935906.4
335913528.8,336546838.9,218240314.1,243662330.6,992522560.9,992522560.9,485830987.5,550929613.2
335917153,336546013.2,218248097.3,243668456.9,992518417.1,992518417.1,485832477.3,550868967.6
335916575.2,336545435.4,218248392.7,243668752.3,992517839.3,992517839.3,485832839.6,550925107
335916493.8,336547262.6,218246986.8,243667346.4,992521073.7,992521073.7,485831433.7,550923701
335915916.1,336546684.9,218246986.5,243670744.3,992520496.1,992520496.1,485839382.9,550929993.2
