con-par,,rand-par,,cont-min,,rand-min,
baseline,workload2,baseline,workload2,baseline,workload2,baseline,workload2
10851.1744,10909.30506,14936.19049,15283.15408,26408.45023,26408.45023,13146.34575,12843.57828
9445.134923,9446.664831,16890.25136,17252.36294,25718.81988,25718.81988,18815.41856,17665.04613
9083.382009,9182.041375,17947.30617,18048.62373,14411.69822,14411.69822,17341.92494,17088.46648
8742.486243,8729.820589,15780.37357,16394.46336,19623.34863,19623.34863,12231.31111,12295.13785
14856.50229,14864.36279,15874.21776,16399.62247,13917.17762,13917.17762,12096.3582,12257.37719
10688.90166,10682.17509,16663.8238,16566.61293,23531.54152,23531.54152,13307.16082,13099.1924
9010.051142,9025.033129,17510.25982,17489.37851,23419.00355,23419.00355,17292.98768,15568.29285
9291.544629,9275.068608,23134.99384,23038.9014,12848.05198,12848.05198,16946.41711,17976.35341
9477.947865,9483.048294,23117.4518,22428.33697,18659.32164,18659.32164,13020.03045,13924.99676
9469.280519,9477.720709,19603.81679,19384.78914,24225.87865,24225.87865,12919.21444,12768.01431
10274.98625,10257.63686,16612.3188,17433.24957,30357.70593,30357.70593,15807.52807,15223.37627
9010.15816,9009.301559,18313.41263,18887.93148,21326.97441,21326.97441,11934.39453,12735.63712
9099.503115,9096.112316,22671.14664,22410.94892,27269.68466,27269.68466,14618.00694,15364.61953
8553.823654,8551.862939,17442.18387,17010.63045,25142.16745,25142.16745,13509.6395,13665.55733
10577.94869,10579.81149,15469.09086,17736.27538,29906.37178,29906.37178,12210.74193,14450.10354
11237.07367,11237.11021,17692.89751,19418.44733,15983.35664,15983.35664,14632.95856,15929.52649
9349.523268,9393.984293,19846.84544,20375.8008,26580.97497,26580.97497,19799.7058,20657.86427
8663.36515,8698.813686,19588.15244,19743.93816,20970.00305,20970.00305,19338.57256,19086.07129
10045.74473,10064.77511,20395.92861,20681.21846,24130.36134,24130.36134,16250.49492,16946.41585
10080.36741,10144.57007,18151.46101,17775.58287,9809.988564,9809.988564,10884.87437,11180.10357
10085.41718,10084.90265,20043.69512,19540.43791,29720.92838,29720.92838,17058.7737,16847.89288
9068.809157,9065.037699,19269.60414,19737.5266,25716.57475,25716.57475,19088.4283,18818.88878
9705.256172,9700.546612,15793.58808,16642.10479,28188.40917,28188.40917,15085.29449,16033.63335
9337.066218,9335.488151,16418.79451,16660.18222,13331.37507,13331.37507,14726.01297,15257.00001
11861.88011,11885.20452,17051.90963,19087.2614,28731.83601,28731.83601,12426.80636,13664.38492
9668.271206,9649.518341,24524.69396,23325.34511,15038.48982,15038.48982,14852.18838,14722.79998
9511.877854,9562.160834,29345.72648,28283.76069,30580.0561,30580.0561,24388.32557,26080.86709
11099.04878,11110.44331,30133.28922,27636.17417,30301.20779,30301.20779,31943.84343,31111.21443
7061.003081,7072.518699,22433.86488,21726.34085,6705.69876,6705.69876,11817.44101,12203.24954
5883.438538,5876.012988,27918.21603,26687.55007,4873.882889,4873.882889,18362.79506,18935.69913
14455.24383,14226.11521,28447.38538,28197.86007,27704.0762,27704.0762,22832.30121,23993.822
13253.91985,13130.28913,22886.77301,22613.25291,25614.05534,25614.05534,23392.88043,22227.46728
13196.37633,13101.32728,24784.549,23774.28119,14987.19485,14987.19485,20304.72301,20319.99392
10515.85106,10448.42611,24676.81684,23561.70677,16156.07942,16156.07942,12849.1173,13158.82128
19546.10959,19496.95627,21414.44701,21622.51863,42370.19851,42370.19851,14857.58849,14895.49641
12407.85446,12440.42535,25409.94451,25268.95424,39471.01619,39471.01619,27152.87452,24713.46087
9890.511777,9877.813101,25168.22355,24383.32734,36359.32375,36359.32375,15890.713,16105.08584
11195.86115,11110.97122,19684.75558,19387.45719,33131.46015,33131.46015,10767.1932,11553.27195
10777.29186,10794.34608,22794.96655,22006.31428,34777.84527,34777.84528,21567.42884,20625.4069
10484.86624,10460.1104,20162.51185,20031.96808,49313.9408,49313.9408,18521.56998,17857.29038
11199.39004,11204.115,23383.77928,22791.96472,55253.63043,55253.63043,21681.72288,21032.05643
10747.2774,10764.50071,18891.0214,18622.89821,40264.89079,40264.89079,18868.7333,18659.53618
11268.19716,11326.62349,14629.35109,14414.16993,51703.38933,51703.38933,9330.148361,10235.42
10311.36946,10266.56812,19519.30989,20133.47632,48262.9333,48262.9333,13751.59192,14337.06098
13010.80356,13058.60023,23787.75582,22875.58943,58416.90624,58416.90624,18659.44355,18644.40981
14338.51658,14328.72011,22548.3268,22312.10537,43336.75614,43336.75614,16993.51699,17510.64785
12182.41347,12236.5002,19149.73767,18978.18004,51182.12541,51182.12541,11404.81125,11369.35792
10932.34814,11014.4799,19443.35103,19519.17632,45832.87952,45832.87952,14895.98311,16420.29818
13082.06773,13057.9119,21510.4244,21152.31404,46292.97931,46292.97931,18954.75801,19824.03761
12246.411,12249.4057,16570.32707,16497.14599,35040.05274,35040.05274,16611.44053,15287.35007
13391.78353,13286.66037,19636.70586,21742.08405,59560.09655,59560.09655,12014.06439,14467.4883
10454.45756,10448.80822,20430.24627,20529.40858,48885.33605,48885.33605,16345.14711,16691.5972
10550.17973,10583.05343,19629.02737,18349.31706,52178.4932,52178.4932,12544.5397,13183.37321
12335.70637,12317.13404,23639.7879,22902.9729,38218.04657,38218.04657,21380.61425,20603.90376
13942.25512,13991.18253,19933.92546,19431.86681,59724.00775,59724.00775,12554.03298,13486.15575
13182.25449,13128.63584,17108.15457,17787.02644,52620.24159,52620.24159,19130.88499,17491.96985
11991.38707,12068.2778,18683.87146,18925.0075,62049.54804,62049.54804,13643.75667,13798.73262
13031.44472,12948.11673,18112.24227,18355.12516,58624.3803,58624.38031,15420.82816,15243.54276
