<source_id>,<source_type>,<dest_id>,<dest_type>,<link_type>,<link_traffic>,<link_saturation>,<stalled_chunks>

0,T,0,R,CN,0,0.000000,0
1,T,0,R,CN,0,0.000000,0
2,T,0,R,CN,0,0.000000,0
3,T,0,R,CN,0,0.000000,0
4,T,1,R,CN,0,0.000000,0
5,T,1,R,CN,0,0.000000,0
6,T,1,R,CN,0,0.000000,0
7,T,1,R,CN,0,0.000000,0
8,T,2,R,CN,0,0.000000,0
9,T,2,R,CN,0,0.000000,0
10,T,2,R,CN,0,0.000000,0
11,T,2,R,CN,0,0.000000,0
12,T,3,R,CN,0,0.000000,0
13,T,3,R,CN,0,0.000000,0
14,T,3,R,CN,0,0.000000,0
15,T,3,R,CN,0,0.000000,0
16,T,4,R,CN,0,0.000000,0
17,T,4,R,CN,0,0.000000,0
18,T,4,R,CN,0,0.000000,0
19,T,4,R,CN,0,0.000000,0
20,T,5,R,CN,0,0.000000,0
21,T,5,R,CN,0,0.000000,0
22,T,5,R,CN,0,0.000000,0
23,T,5,R,CN,0,0.000000,0
24,T,6,R,CN,0,0.000000,0
25,T,6,R,CN,0,0.000000,0
26,T,6,R,CN,0,0.000000,0
27,T,6,R,CN,0,0.000000,0
28,T,7,R,CN,0,0.000000,0
29,T,7,R,CN,0,0.000000,0
30,T,7,R,CN,0,0.000000,0
31,T,7,R,CN,0,0.000000,0
0,R,1,R,L,0,0.000000,0
0,R,2,R,L,0,0.000000,0
0,R,3,R,L,0,0.000000,0
0,R,4,R,L,0,0.000000,0
0,R,5,R,L,0,0.000000,0
0,R,6,R,L,0,0.000000,0
0,R,7,R,L,0,0.000000,0
0,R,15,R,G,0,0.000000,0
0,R,23,R,G,0,0.000000,0
0,R,31,R,G,0,0.000000,0
0,R,39,R,G,0,0.000000,0
0,R,0,T,CN,0,0.000000,0
0,R,1,T,CN,0,0.000000,0
0,R,2,T,CN,0,0.000000,0
0,R,3,T,CN,0,0.000000,0
1,R,0,R,L,0,0.000000,0
1,R,2,R,L,0,0.000000,0
1,R,3,R,L,0,0.000000,0
1,R,4,R,L,0,0.000000,0
1,R,5,R,L,0,0.000000,0
1,R,6,R,L,0,0.000000,0
1,R,7,R,L,0,0.000000,0
1,R,46,R,G,0,0.000000,0
1,R,54,R,G,0,0.000000,0
1,R,62,R,G,0,0.000000,0
1,R,70,R,G,0,0.000000,0
1,R,4,T,CN,0,0.000000,0
1,R,5,T,CN,0,0.000000,0
1,R,6,T,CN,0,0.000000,0
1,R,7,T,CN,0,0.000000,0
2,R,0,R,L,0,0.000000,0
2,R,1,R,L,0,0.000000,0
2,R,3,R,L,0,0.000000,0
2,R,4,R,L,0,0.000000,0
2,R,5,R,L,0,0.000000,0
2,R,6,R,L,0,0.000000,0
2,R,7,R,L,0,0.000000,0
2,R,77,R,G,0,0.000000,0
2,R,85,R,G,0,0.000000,0
2,R,93,R,G,0,0.000000,0
2,R,101,R,G,0,0.000000,0
2,R,8,T,CN,0,0.000000,0
2,R,9,T,CN,0,0.000000,0
2,R,10,T,CN,0,0.000000,0
2,R,11,T,CN,0,0.000000,0
3,R,0,R,L,0,0.000000,0
3,R,1,R,L,0,0.000000,0
3,R,2,R,L,0,0.000000,0
3,R,4,R,L,0,0.000000,0
3,R,5,R,L,0,0.000000,0
3,R,6,R,L,0,0.000000,0
3,R,7,R,L,0,0.000000,0
3,R,108,R,G,0,0.000000,0
3,R,116,R,G,0,0.000000,0
3,R,124,R,G,0,0.000000,0
3,R,132,R,G,0,0.000000,0
3,R,12,T,CN,0,0.000000,0
3,R,13,T,CN,0,0.000000,0
3,R,14,T,CN,0,0.000000,0
3,R,15,T,CN,0,0.000000,0
4,R,0,R,L,0,0.000000,0
4,R,1,R,L,0,0.000000,0
4,R,2,R,L,0,0.000000,0
4,R,3,R,L,0,0.000000,0
4,R,5,R,L,0,0.000000,0
4,R,6,R,L,0,0.000000,0
4,R,7,R,L,0,0.000000,0
4,R,139,R,G,0,0.000000,0
4,R,147,R,G,0,0.000000,0
4,R,155,R,G,0,0.000000,0
4,R,163,R,G,0,0.000000,0
4,R,16,T,CN,0,0.000000,0
4,R,17,T,CN,0,0.000000,0
4,R,18,T,CN,0,0.000000,0
4,R,19,T,CN,0,0.000000,0
5,R,0,R,L,0,0.000000,0
5,R,1,R,L,0,0.000000,0
5,R,2,R,L,0,0.000000,0
5,R,3,R,L,0,0.000000,0
5,R,4,R,L,0,0.000000,0
5,R,6,R,L,0,0.000000,0
5,R,7,R,L,0,0.000000,0
5,R,170,R,G,0,0.000000,0
5,R,178,R,G,0,0.000000,0
5,R,186,R,G,0,0.000000,0
5,R,194,R,G,0,0.000000,0
5,R,20,T,CN,0,0.000000,0
5,R,21,T,CN,0,0.000000,0
5,R,22,T,CN,0,0.000000,0
5,R,23,T,CN,0,0.000000,0
6,R,0,R,L,0,0.000000,0
6,R,1,R,L,0,0.000000,0
6,R,2,R,L,0,0.000000,0
6,R,3,R,L,0,0.000000,0
6,R,4,R,L,0,0.000000,0
6,R,5,R,L,0,0.000000,0
6,R,7,R,L,0,0.000000,0
6,R,201,R,G,0,0.000000,0
6,R,209,R,G,0,0.000000,0
6,R,217,R,G,0,0.000000,0
6,R,225,R,G,0,0.000000,0
6,R,24,T,CN,0,0.000000,0
6,R,25,T,CN,0,0.000000,0
6,R,26,T,CN,0,0.000000,0
6,R,27,T,CN,0,0.000000,0
7,R,0,R,L,0,0.000000,0
7,R,1,R,L,0,0.000000,0
7,R,2,R,L,0,0.000000,0
7,R,3,R,L,0,0.000000,0
7,R,4,R,L,0,0.000000,0
7,R,5,R,L,0,0.000000,0
7,R,6,R,L,0,0.000000,0
7,R,232,R,G,0,0.000000,0
7,R,240,R,G,0,0.000000,0
7,R,248,R,G,0,0.000000,0
7,R,256,R,G,0,0.000000,0
7,R,28,T,CN,0,0.000000,0
7,R,29,T,CN,0,0.000000,0
7,R,30,T,CN,0,0.000000,0
7,R,31,T,CN,0,0.000000,0
32,T,8,R,CN,0,0.000000,0
33,T,8,R,CN,0,0.000000,0
34,T,8,R,CN,0,0.000000,0
35,T,8,R,CN,0,0.000000,0
36,T,9,R,CN,0,0.000000,0
37,T,9,R,CN,0,0.000000,0
38,T,9,R,CN,0,0.000000,0
39,T,9,R,CN,0,0.000000,0
40,T,10,R,CN,0,0.000000,0
41,T,10,R,CN,0,0.000000,0
42,T,10,R,CN,0,0.000000,0
43,T,10,R,CN,0,0.000000,0
44,T,11,R,CN,0,0.000000,0
45,T,11,R,CN,0,0.000000,0
46,T,11,R,CN,0,0.000000,0
47,T,11,R,CN,0,0.000000,0
48,T,12,R,CN,0,0.000000,0
49,T,12,R,CN,0,0.000000,0
50,T,12,R,CN,0,0.000000,0
51,T,12,R,CN,0,0.000000,0
52,T,13,R,CN,0,0.000000,0
53,T,13,R,CN,0,0.000000,0
54,T,13,R,CN,0,0.000000,0
55,T,13,R,CN,0,0.000000,0
56,T,14,R,CN,0,0.000000,0
57,T,14,R,CN,0,0.000000,0
58,T,14,R,CN,0,0.000000,0
59,T,14,R,CN,0,0.000000,0
60,T,15,R,CN,0,0.000000,0
61,T,15,R,CN,0,0.000000,0
62,T,15,R,CN,0,0.000000,0
63,T,15,R,CN,0,0.000000,0
8,R,9,R,L,0,0.000000,0
8,R,10,R,L,0,0.000000,0
8,R,11,R,L,0,0.000000,0
8,R,12,R,L,0,0.000000,0
8,R,13,R,L,0,0.000000,0
8,R,14,R,L,0,0.000000,0
8,R,15,R,L,0,0.000000,0
8,R,23,R,G,0,0.000000,0
8,R,31,R,G,0,0.000000,0
8,R,39,R,G,0,0.000000,0
8,R,47,R,G,0,0.000000,0
8,R,32,T,CN,0,0.000000,0
8,R,33,T,CN,0,0.000000,0
8,R,34,T,CN,0,0.000000,0
8,R,35,T,CN,0,0.000000,0
9,R,8,R,L,0,0.000000,0
9,R,10,R,L,0,0.000000,0
9,R,11,R,L,0,0.000000,0
9,R,12,R,L,0,0.000000,0
9,R,13,R,L,0,0.000000,0
9,R,14,R,L,0,0.000000,0
9,R,15,R,L,0,0.000000,0
9,R,54,R,G,0,0.000000,0
9,R,62,R,G,0,0.000000,0
9,R,70,R,G,0,0.000000,0
9,R,78,R,G,0,0.000000,0
9,R,36,T,CN,0,0.000000,0
9,R,37,T,CN,0,0.000000,0
9,R,38,T,CN,0,0.000000,0
9,R,39,T,CN,0,0.000000,0
10,R,8,R,L,0,0.000000,0
10,R,9,R,L,0,0.000000,0
10,R,11,R,L,0,0.000000,0
10,R,12,R,L,0,0.000000,0
10,R,13,R,L,0,0.000000,0
10,R,14,R,L,0,0.000000,0
10,R,15,R,L,0,0.000000,0
10,R,85,R,G,0,0.000000,0
10,R,93,R,G,0,0.000000,0
10,R,101,R,G,0,0.000000,0
10,R,109,R,G,0,0.000000,0
10,R,40,T,CN,0,0.000000,0
10,R,41,T,CN,0,0.000000,0
10,R,42,T,CN,0,0.000000,0
10,R,43,T,CN,0,0.000000,0
11,R,8,R,L,0,0.000000,0
11,R,9,R,L,0,0.000000,0
11,R,10,R,L,0,0.000000,0
11,R,12,R,L,0,0.000000,0
11,R,13,R,L,0,0.000000,0
11,R,14,R,L,0,0.000000,0
11,R,15,R,L,0,0.000000,0
11,R,116,R,G,0,0.000000,0
